tool,workload,unsupported,checked,disproved
VeriEQL-RQ1,LeetCode,5503,14905,3586
VeriEQL-RQ1,Calcite,132,261,4
VeriEQL-RQ1,Literature,1,34,29
VeriEQL,LeetCode,3731,8873,11390
VeriEQL,Calcite,132,242,23
VeriEQL,Literature,1,30,33
Cosette,LeetCode,23821,173,0
Cosette,Calcite,362,34,1
Cosette,Literature,2,23,39
Qex,LeetCode,23821,173,0
Qex,Calcite,362,34,1
Qex,Literature,2,29,33
SPES,LeetCode,9960,1372,12662
SPES,Calcite,79,108,210
SPES,Literature,28,8,28
HoTTSQL,LeetCode,23822,172,0
HoTTSQL,Calcite,367,30,0
HoTTSQL,Literature,43,21,0
DataFiller-RQ1,LeetCode,10722,13162,110
DataFiller-RQ1,Calcite,0,394,3
DataFiller-RQ1,Literature,0,43,21
DataFiller,LeetCode,0,14926,9068
DataFiller,Calcite,0,372,25
DataFiller,Literature,0,40,24
XData-RQ1,LeetCode,19028,2927,0
XData-RQ1,Calcite,397,0,0
XData-RQ1,Literature,26,37,1
XData,LeetCode,16332,5623,0
XData,Calcite,215,171,11
XData,Literature,26,37,1
