time,event
0.187,counterexample
0.189,counterexample
0.19,counterexample
0.19,counterexample
0.191,counterexample
0.191,counterexample
0.191,counterexample
0.191,counterexample
0.192,counterexample
0.192,counterexample
0.192,counterexample
0.192,counterexample
0.192,counterexample
0.192,counterexample
0.192,counterexample
0.193,counterexample
0.193,counterexample
0.193,counterexample
0.193,counterexample
0.193,counterexample
0.193,counterexample
0.193,counterexample
0.195,counterexample
0.195,counterexample
0.196,counterexample
0.196,counterexample
0.196,counterexample
0.197,counterexample
0.197,counterexample
0.197,counterexample
0.198,counterexample
0.199,counterexample
0.199,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.2,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.201,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.202,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.203,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.204,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.205,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.206,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
0.207,counterexample
